drep,totalLovelace,totalADA,numDelegators
https://w3id.org/cgov#AlwaysAbstain,5707883061194556,5707883061,106400
https://w3id.org/cgov#drep_drep1ygr9tuapcanc3kpeyy4dc3vmrz9cfe5q7v9wj3x9j0ap3tswtre9j,708055927053612,708055927,18949
https://w3id.org/cgov#drep_drep1y2200we9c904un36tzaearntzzl63snffuul9qsk0te4utqfkke0w,456568809742071,456568810,1475
https://w3id.org/cgov#drep_drep1ytvlwvyjmzfyn56n0zz4f6lj94wxhmsl5zky6knnzrf4jygpyahug,297548831433855,297548831,400
https://w3id.org/cgov#drep_drep1y2nvdau7g7xt6dlh9wydy9c4fvve24rr67twf5w63axu56q4rypfz,292099619312895,292099619,90
https://w3id.org/cgov#drep_drep1y29h2q6cst2pvkl2sqqvf5ljcy36uv7pmy482xnczddzgqshus24w,248602562781261,248602563,9208
https://w3id.org/cgov#drep_drep1ytfwpmt2fvdnyvlswyjyggpf8alwkpm7ha6cua9nsak525ssmvm57,209815727793573,209815728,2581
https://w3id.org/cgov#AlwaysNoConfidence,193509003946402,193509004,6678
https://w3id.org/cgov#drep_drep1ydpfkyjxzeqvalf6fgvj7lznrk8kcmfnvy9hyl6gr6ez6wgsjaelx,189935504651684,189935505,543
https://w3id.org/cgov#drep_drep1y2csyxt7u2hl4674pl9cef5lknafaw5nraxvyx033kmd0es3awuv0,186436943451321,186436943,1368
