proposal,proposalType,yesCount,noCount,abstainCount,totalVotes
https://w3id.org/cgov#proposal_0b19476e40bbbb5e1e8ce153523762e2b6859e7ecacbaf06eae0ee6a447e79b9_0,Hard Fork Initiation,655,6,36,697
https://w3id.org/cgov#proposal_c21b00f90f18fce4003edf42b0b0d455126e01c946e80cc5341a9f9750caf795_0,Parameter Change,540,15,83,638
https://w3id.org/cgov#proposal_47a0e7a4f9383b1afc2192b23b41824d65ac978d7741aca61fc1fa16833d1111_0,New Committee,605,12,20,637
https://w3id.org/cgov#proposal_4dab331457b61b824bbc6ba4b9d9be4750e25c0b5dd42207aeb63c7431a6b704_0,New Committee,457,1,2,460
https://w3id.org/cgov#proposal_9b62b3c632f329016a968ac25211825bb4f84b12461121c7da3aa11df92370f9_0,Info Action,248,184,18,450
https://w3id.org/cgov#proposal_8c653ee5c9800e6d31e79b5a7f7d4400c81d44717ad4db633dc18d4c07e4a4fd_0,New Constitution,410,26,8,444
https://w3id.org/cgov#proposal_941502b0aa104c850d197923259444d2b57cab7af18b63143775465aaacc84f5_0,Parameter Change,155,242,14,411
https://w3id.org/cgov#proposal_7d9fc9fe4cee64fb34e57783378ac869a85c78d6fbcd4078ed131ab6fa3c7db6_0,Info Action,289,95,13,397
https://w3id.org/cgov#proposal_8f54d021c6e6fcdd5a4908f10a7b092fa31cd94db2e809f2e06d7ffa4d78773d_0,Info Action,345,12,13,370
https://w3id.org/cgov#proposal_fff0df644d328a5367212f45bab59060bde3c4091dc96c723062896fd6197314_0,Info Action,318,12,13,343
https://w3id.org/cgov#proposal_7f320409d9998712ff3a3cdf0c9439e1543f236a3d746766f78f1fdbe1e06bf8_0,Info Action,174,140,19,333
https://w3id.org/cgov#proposal_56f39054758f1a3cedc1de9225d66bf270b62dfdbfbc5399f1d6d43aceffc636_0,Info Action,291,13,27,331
https://w3id.org/cgov#proposal_8845bfc37bb2f69e8f200fe28148b3dea3c4399b0c49ee0ed2bb4e349cab9eb7_0,Info Action,296,3,16,315
https://w3id.org/cgov#proposal_e14de8d9dc4f4ddf3fe9250a8a926e20f10e99b86bd0610b77d7a054981591ee_0,Info Action,225,73,16,314
https://w3id.org/cgov#proposal_bd488931f792651fefa9c6fda185a2c6cec83245b51d994e33090ce36e29cc26_0,Info Action,279,15,12,306
https://w3id.org/cgov#proposal_d16dffbae9d86a73cb343506e6712d79c278096dc25e8ba6900eb24522726bba_0,Info Action,273,8,9,290
https://w3id.org/cgov#proposal_eb8ef28ca80dbd9ced6f577f013bdfc64897d1f4e326beb37a50fb6b62c38ccd_0,New Committee,233,35,21,289
https://w3id.org/cgov#proposal_9d213a57684d7ddf6f3350c80d042639ecbed5ccccc4a05bf54959a086593e7b_0,Info Action,211,61,15,287
https://w3id.org/cgov#proposal_90cf51975f9c19c291bac3e57364a89507e64daa0a2d35e356f87e6684821556_0,Info Action,180,74,21,275
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_19,Treasury Withdrawal,158,82,26,266
https://w3id.org/cgov#proposal_3cf29192a0ee1a77985054072edcdb566ac14707730637c4635d8fb6813cb4c9_0,Treasury Withdrawal,219,25,17,261
https://w3id.org/cgov#proposal_e5643c33f608642e329228a968770e5b19ef5f48ff1f698712e2ce864a49e3f0_0,Info Action,219,25,16,260
https://w3id.org/cgov#proposal_7fd6429add8f2611ad8d48c0cc49101463093aec285faea402e8cfde78ea58d7_0,Info Action,145,85,30,260
https://w3id.org/cgov#proposal_637e3c256da9c1350847ca3211e8c44e3660a4471e8b6f68a8c537746b4aeb73_0,Info Action,134,103,22,259
https://w3id.org/cgov#proposal_495bd3cd44ea6bc0b4c2dbb1e4cdc7e214874c2c07490a4e2476a627ef911280_0,Info Action,132,100,24,256
https://w3id.org/cgov#proposal_207b226e110e13bb18b119fcd313520e0fcd060b2bc9fb9a5e5bc6e94ab10f3b_0,New Constitution,171,56,28,255
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_30,Treasury Withdrawal,107,121,23,251
https://w3id.org/cgov#proposal_3a5be93bafd26d0dbb9bfe19f4acecaa38cef75e50201d19199e6cc856db6601_0,Info Action,200,26,25,251
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_29,Treasury Withdrawal,148,76,25,249
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_28,Treasury Withdrawal,128,101,18,247
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_22,Treasury Withdrawal,175,47,19,241
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_35,Treasury Withdrawal,172,52,16,240
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_2,Treasury Withdrawal,210,13,16,239
https://w3id.org/cgov#proposal_c882f194684d672316212f01efc6d28177e8965b7cd6956981fe37cc6715961e_0,New Constitution,186,34,14,234
https://w3id.org/cgov#proposal_a36eafaea085b77f97cceacf07fe9450f8c6b47fec3af94da8f7d158a1fc9722_0,Info Action,190,26,18,234
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_27,Treasury Withdrawal,134,84,16,234
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_0,Treasury Withdrawal,216,11,2,229
https://w3id.org/cgov#proposal_defbf15b06092718adf4befeab982e03d2966b9caeef93c19e470549ef75ea49_0,Info Action,116,84,29,229
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_1,Treasury Withdrawal,212,8,9,229
https://w3id.org/cgov#proposal_60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45_0,Treasury Withdrawal,207,7,12,226
https://w3id.org/cgov#proposal_03f671791fd97011f30e4d6b76c9a91f4f6bcfb60ee37e5399b9545bb3f2757a_0,Treasury Withdrawal,160,42,24,226
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_5,Treasury Withdrawal,200,15,9,224
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_7,Treasury Withdrawal,198,16,9,223
https://w3id.org/cgov#proposal_f8393f1ff814d3d52336a97712361fed933d9ef9e8d0909e1d31536a549fd22f_0,Treasury Withdrawal,205,11,5,221
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_26,Treasury Withdrawal,159,45,17,221
https://w3id.org/cgov#proposal_dc4c679c8cf1cec49817d4d2c1c96cd802ec8a047a11dc0b0bb125b5af0a76cd_0,Info Action,175,32,14,221
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_32,Treasury Withdrawal,193,16,10,219
https://w3id.org/cgov#proposal_1d6aea56e6a523b13e03ae30ff24ebf9852543b4f7d415c7e50f55f6baaa4e3d_0,Treasury Withdrawal,26,169,23,218
https://w3id.org/cgov#proposal_3285b7fd0da16d21e0b8f8910c37f77e17a57cfff8f513df4baf692954801088_0,Info Action,186,16,16,218
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_4,Treasury Withdrawal,197,12,8,217
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_3,Treasury Withdrawal,197,15,4,216
https://w3id.org/cgov#proposal_d2745225498d1c56c0f01be9971074a49144d625df0e73a86c51689624fbadb0_0,Info Action,57,113,44,214
https://w3id.org/cgov#proposal_4ff43f1eab5252ef00ba6f1429dc23715e3899834f10c067e8065c8364d5559a_0,Treasury Withdrawal,25,166,23,214
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_25,Treasury Withdrawal,136,58,19,213
https://w3id.org/cgov#proposal_15f82a365bdee483a4b03873a40d3829cc88c048ff3703e11bd01dd9e035c916_0,Info Action,21,163,27,211
https://w3id.org/cgov#proposal_91a79f5c934b7c91e3027736d565080c2b6611fb8484b1156fdf16121fcfb410_0,New Constitution,171,25,15,211
https://w3id.org/cgov#proposal_73a4eb2148781c37ef37c90a33a1d3d00511a8eefe9cdfaa1ea593b090f23f96_0,Info Action,139,40,30,209
