drep,votesCast,voterRole
https://w3id.org/cgov#drep_drep1y2jnqfamg4tq5aepxhggzhqg7pq5gunph4wypkyh9q3qt2cru5m2j,120,drep
https://w3id.org/cgov#drep_drep1y2j2q9pcl855969ea9csrhdta6slnamctgzuvuqnnkl6fusqyjy36,100,drep
https://w3id.org/cgov#drep_drep1y2zu74gt8sxtrxcngqsmrnupkzrtmlqshmvmm5qtuhxx6xqt7yhaw,98,drep
https://w3id.org/cgov#drep_drep1ytxr0lhg5j72wysva9ac2gsn4lck4gyen8ywxkqfchsqg3qs8uy44,98,drep
https://w3id.org/cgov#drep_drep1yfp4qmp849250svle8gw2m5jwjra86e76q8vz97wp998feg9mx9c5,97,drep
https://w3id.org/cgov#drep_drep1y2hlgh9600zjlt39dh54z7z8d65kahneck8yhh7ugmzc9as0xrzqd,96,drep
https://w3id.org/cgov#drep_drep1y2u2848fer43ghnyhyadhaqd2ek4q9x09h2y0sxev5gklcgnx3qyp,95,drep
https://w3id.org/cgov#drep_drep1ytm2zedqf54prqf5kfvzq56dgr7s3p4h53w8z428z6l2c8cj8e33y,94,drep
https://w3id.org/cgov#drep_drep1yt6lgdpqjey286qwt287mnk7sdqh95avfmde42vq3mltjys75kg5k,94,drep
https://w3id.org/cgov#drep_drep1yfdfs28uwafjgmrkatdektlzrvha2cmvqjhuz700e04mawq23rmrg,93,drep
https://w3id.org/cgov#drep_drep1yte3chru8m7d3gzgpwvmgan0gjfxru9r9cyvrkkcerc0wcg6qfvtc,92,drep
https://w3id.org/cgov#drep_drep1yt77crnmjuqkj9gcwjjsurez7s07jhwhyt4suxs3xeqftcsfrspun,92,drep
https://w3id.org/cgov#drep_drep1ytfnmf4uftt4fe0h63xhadl0v402gr6nnhtcgrq2sas26kgaf3n5y,92,drep
https://w3id.org/cgov#drep_drep1y2dnsj0taktxwmzwf4a7sp0mg3rvm3jsetag0h0m83khs3c7d3l6x,90,drep
https://w3id.org/cgov#drep_drep1ytcw6qzpqqclx2yd0zy64ztvlkkhnf6yrzza8whgnq4vz5gh89626,90,drep
https://w3id.org/cgov#drep_drep1y2y3euudfnw48xeulsfupsttlx8c4xphhaw90d66dvcrazgjdm5uc,90,drep
https://w3id.org/cgov#drep_drep1ytzshxuma6cwrnlv2ucyclfqw3k4nu4nuudmh2z87j9hncsk9dhy4,89,drep
https://w3id.org/cgov#drep_drep1ygnh2uf4wkc8ldgfxwz7rzuga3m8jtqew9xh5g3n587mg6g3ge0sj,89,drep
https://w3id.org/cgov#drep_drep1y2200we9c904un36tzaearntzzl63snffuul9qsk0te4utqfkke0w,88,drep
https://w3id.org/cgov#drep_drep1y269ehxj30k4vfzfc2z84v0xykd3amuy2xn0kv9zf8rhcec2fg2jr,87,drep
